item,itemLabel,startDate,endDate,sourceDate,psid
Q781090,Austin Gatt,1998-09-08,2003-04-15,2021-09-02,Q781090-A09B3F7D-3ABF-4CD8-BE30-E6FE2A73088A
Q58176,Tonio Borg,2003-04-15,2008-03-12,,Q58176-20C59D90-161F-4BC9-9F9C-282BE3D49F75
Q1043584,Carmelo Mifsud Bonnici,2008-03-12,2012-01-06,2021-09-02,Q1043584-BF53E448-432D-4E33-A343-263B6AA20BFA
Q2668705,Christopher Said,2012-01-06,2013-03-13,2021-09-02,Q2668705-BC27E80A-8203-47BA-873A-4D7063A3689C
Q16199692,Owen Bonnici,2013-03-13,2020-01-13,,Q16199692-3B3078D6-906C-496B-BB5B-F19E12651F4C
Q37861343,Edward Zammit Lewis,2020-01-15,2022-03-30,,Q37861343-5BF6E37D-2B8A-4CB4-BD4C-07E43FCAAC05
Q111509231,Jonathan Attard,2022-03-30,,,Q111509231-875ADE14-F504-40D5-A711-6D3417BE8D46
