item,itemLabel,startDate,endDate
Q16008191,Giovanni Felice,1962-03-05,1963
,Tommaso Caruana Demajo,1963,1971-06-21
Q250177,Anton Buttigieg,1971-06-21,1976-10-15
Q18536886,Ġużè Cassar,1976-10-15,1979-07-09
,Joseph Brincat,1979-07-09,1981-12-20
Q18536886,Ġużè Cassar,1981-12-20,1987-05-12
Q167724,Guido de Marco,1987-05-12,1992-02-27
,Joe Fenech,1992-02-27,1995-04-01
Q19367343,Michael Refalo,1995-04-01,1996-10-28
Q5080619,Charles Mangion,1996-10-29,1998-02-03
,Gavin Gulia,1998-02-04,1998-09-06
Q781090,Austin Gatt,1998-09-08,2003-04-15
Q58176,Tonio Borg,2003-04-15,2008-03-12
Q1043584,Carmelo Mifsud Bonnici,2008-03-12,2012-01-06
Q2668705,Chris Said,2012-01-06,2013-03-13
Q16199692,Owen Bonnici,2014-04-02,2020-01-15
Q37861343,Edward Zammit Lewis,2020-01-15,2022-03-30
,Jonathan Attard,2022-03-30,
