pageid,title,wikidata,label
8478859,John Aquilina,Q6219273,John Aquilina
13791358,Michael Falzon (politician),Q6830205,Michael Falzon
18481965,Angelo Farrugia,Q4762878,Angelo Farrugia
19157538,Aaron Farrugia,Q4661996,Aaron Farrugia
23152895,Edward Scicluna,Q173958,Edward Scicluna
23315498,George Vella,Q1508402,George William Vella
38972744,Owen Bonnici,Q16199692,Owen Bonnici
39120560,Ian Borg,Q38220741,Ian Borg
39120565,Roderick Galdes,Q20949398,Roderick Galdes
43962528,Chris Fearne,Q18206002,Chris Fearne
50063637,Silvio Schembri,Q23881652,Silvio Schembri
54180393,Miriam Dalli,Q17315715,Miriam Dalli
58708098,Julia Farrugia Portelli,Q37861162,Julia Farrugia Portelli
62535882,Robert Abela,Q37860840,Robert Abela
63713037,Clayton Bartolo,Q37861005,Clayton Bartolo
65958069,Clint Camilleri,Q102423681,Clint Camilleri
68955308,Stefan Zrinzo Azzopardi,Q37861353,Stefan Zrinzo Azzopardi
69742314,Clyde Caruana,Q108384543,Clyde Caruana
