name,position,url
"Dr Anton Refalo, LLD, MP","MINISTER FOR AGRICULTURE, FISHERIES AND ANIMAL RIGHTS",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Agriculture.aspx
"Dr Owen Bonnici, BA, LLD, MP","MINISTER FOR THE NATIONAL HERITAGE, THE ARTS AND LOCAL GOVERNMENT",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Culture.aspx
"Mr Silvio Schembri, BCom(Hons), MA(Econ), MP","MINISTER FOR THE ECONOMY, EUROPEAN FUNDS AND LANDS",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Economy.aspx
"Dr Clifton Grima, LLB, LLD, MP","MINISTER FOR EDUCATION, SPORT, YOUTH, RESEARCH AND INNOVATION",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Education.aspx
"Mr Jo Etienne Abela, MD, MPhil, MRCS, FRCS, FEBS, MP",MINISTER FOR ACTIVE AGEING,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Elderly.aspx
"Dr Miriam Dalli, BA (Hons), MA (Eur), MBA (Exec), LLD, MP","MINISTER FOR THE ENVIRONMENT, ENERGY AND ENTERPRISE",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Environment.aspx
"Mr Clyde Caruana, BCom (Hons), MA (Econ), MP",MINISTER FOR FINANCE AND EMPLOYMENT,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Finance.aspx
"Dr Ian Borg, LLB, Dip Not Pub, LLD, MP",MINISTER FOR FOREIGN AND EUROPEAN AFFAIRS AND TRADE,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Foreign-Affairs.aspx
"Perit Clint Camilleri, BE&A(Hons), MP",MINISTER FOR GOZO,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Gozo.aspx
"Mr Chris Fearne, MD, FRCS(Ed), MP",Deputy Prime Minister,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Health.aspx
"Mr Chris Fearne, MD, FRCS(Ed), MP",MINISTER FOR HEALTH,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Health.aspx
"Ms Julia Farrugia Portelli, MP","MINISTER FOR INCLUSION, VOLUNTARY ORGANISATIONS AND CONSUMER RIGHTS",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Inclusion.aspx
"Dr Jonathan Attard, B.Comm, LLB, Dip NP, LLD, MP",MINISTER FOR JUSTICE,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Justice.aspx
"Dr Robert Abela KUOM, BA, LLD, Adv Trib Melit, MP",Prime Minister,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/OPM.aspx
"Dr Stefan Zrinzo Azzopardi, BA, LLD, MP",MINISTER FOR PUBLIC WORKS AND PLANNING,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Public-Works.aspx
"Dr Byron Camilleri, LLB, Dip Not Pub, LLD, MP","MINISTER FOR HOME AFFAIRS, SECURITY, REFORMS AND EQUALITY",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Reform.aspx
"Dr Michael Falzon, LLD, ACIB, MP",MINISTER FOR SOCIAL POLICY AND CHILDREN'S RIGHTS,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Social-.aspx
"Mr Roderick Galdes, BPlan, MA(ISSS), MACP, MP",MINISTER FOR SOCIAL AND AFFORDABLE ACCOMMODATION,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Social-Accomodation.aspx
"Mr Clayton Bartolo, B. Accty (Hons), CPA, MP",MINISTER FOR TOURISM,https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Tourism.aspx
"Dr Aaron Farrugia, BCom (Hons) Finance, MA (European), LLD, MP","MINISTER FOR TRANSPORT, INFRASTRUCTURE AND CAPITAL PROJECTS",https://www.gov.mt:443/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/Ministries%202022/Transport.aspx
