wdid,name,wdLabel,source,sourceDate,pid,position,start,psid
Q102423681,"Perit Clint Camilleri, BE&A(Hons), MP",Clint Camilleri,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q108265813,MINISTER FOR GOZO,2020-01-20,Q102423681-00A4B480-2547-4B7C-A96E-01144EA3E99E
Q108384543,"Mr Clyde Caruana, BCom (Hons), MA (Econ), MP",Clyde Caruana,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q5449540,MINISTER FOR FINANCE AND EMPLOYMENT,2020-11-22,Q108384543-FFA84E9B-4743-47F9-81ED-2309E108CE28
Q111509231,"Dr Jonathan Attard, B.Comm, LLB, Dip NP, LLD, MP",Jonathan Attard,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q108265741,MINISTER FOR JUSTICE,2022-03-30,Q111509231-875ADE14-F504-40D5-A711-6D3417BE8D46
Q111509236,"Mr Jo Etienne Abela, MD, MPhil, MRCS, FRCS, FEBS, MP",Jo Etienne Abela,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q111509237,MINISTER FOR ACTIVE AGEING,2022-03-30,Q111509236-C904AC79-002D-4481-ACFC-90F1C9A1181C
Q16199692,"Dr Owen Bonnici, BA, LLD, MP",Owen Bonnici,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q109689802,"MINISTER FOR THE NATIONAL HERITAGE, THE ARTS AND LOCAL GOVERNMENT",2022-03-30,Q16199692-B2E618D7-5210-469D-8716-EE3B7DEB2ABF
Q17315715,"Dr Miriam Dalli, BA (Hons), MA (Eur), MBA (Exec), LLD, MP",Miriam Dalli,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q111509226,"MINISTER FOR THE ENVIRONMENT, ENERGY AND ENTERPRISE",2022-03-30,Q17315715-67430448-39F9-473A-BA49-765617DD2360
Q18206002,"Mr Chris Fearne, MD, FRCS(Ed), MP",Chris Fearne,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q108265384,MINISTER FOR HEALTH,2016-04-28,Q18206002-11C337F5-AA21-4E82-A072-4AB57432904F
Q18206002,"Mr Chris Fearne, MD, FRCS(Ed), MP",Chris Fearne,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q5261066,Deputy Prime Minister,2017-07-17,Q18206002-B8A5B9F9-E811-4704-976F-F2FD1FAFAB31
Q20949398,"Mr Roderick Galdes, BPlan, MA(ISSS), MACP, MP",Roderick Galdes,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q109689469,MINISTER FOR SOCIAL AND AFFORDABLE ACCOMMODATION,2020-01-15,Q20949398-DFF01170-0F0D-49D9-819A-4B2893321D68
Q23881652,"Mr Silvio Schembri, BCom(Hons), MA(Econ), MP",Silvio Schembri,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q111509234,"MINISTER FOR THE ECONOMY, EUROPEAN FUNDS AND LANDS",2022-03-30,Q23881652-C28314F4-5D8D-488B-B756-137FBBE2D5BA
Q37860840,"Dr Robert Abela KUOM, BA, LLD, Adv Trib Melit, MP",Robert Abela,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q152814,Prime Minister,2020-01-13,Q37860840-6948e451-44f2-8284-cd40-dc61af09d081
Q37861005,"Mr Clayton Bartolo, B. Accty (Hons), CPA, MP",Clayton Bartolo,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q109689478,MINISTER FOR TOURISM,2020-11-23,Q37861005-B8FB21F3-C38B-4F8C-BCED-0182E6E3E330
Q37861044,"Dr Byron Camilleri, LLB, Dip Not Pub, LLD, MP",Byron Camilleri,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q108266345,"MINISTER FOR HOME AFFAIRS, SECURITY, REFORMS AND EQUALITY",2020-01-15,Q37861044-D57F9218-69B9-4451-898E-D2871C0E80D7
Q37861162,"Ms Julia Farrugia Portelli, MP",Julia Farrugia Portelli,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q111509228,"MINISTER FOR INCLUSION, VOLUNTARY ORGANISATIONS AND CONSUMER RIGHTS",2022-03-30,Q37861162-D7B9C549-EF3B-49C8-89D4-9769270D05E2
Q37861219,"Dr Clifton Grima, LLB, LLD, MP",Clifton Grima,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q109689797,"MINISTER FOR EDUCATION, SPORT, YOUTH, RESEARCH AND INNOVATION",2021-12-27,Q37861219-AB3709FE-CBDF-4ECA-90F1-AE4BAF9AD1CC
Q37861279,"Dr Anton Refalo, LLD, MP",Anton Refalo,https://www.gov.mt/en/Government/Government%20of%20Malta/Ministries%20and%20Entities/Pages/default.aspx,2022-04-11,Q109689827,"MINISTER FOR AGRICULTURE, FISHERIES AND ANIMAL RIGHTS",2020-01-21,Q37861279-2524EFFC-DF48-408E-B078-8D161653D561
