item,itemLabel,itemDescription,inception,abolition,partOf,partOfLabel,partStart,partEnd,isa,isaLabel,ministry,ministryLabel
Q5261066,Deputy Prime Minister of Malta,Maltese political office,1947-01-01T00:00:00Z,,Q3112083,Cabinet of Malta,,,Q877955,deputy prime minister,,
Q5449540,Finance Minister of Malta,Maltese minister,,,Q3112083,Cabinet of Malta,,,Q7614320,finance minister,,
Q109689827,"Minister for Agriculture, Fisheries, Food and Animal Rights",cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q109689797,Minister for Education,cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q30107297,Minister for Education and Employment,minister for education and employment of Malta,,,Q3112083,Cabinet of Malta,,,Q4018482,education minister,,
Q108266313,"Minister for Energy, Enterprise and Sustainable Development",cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q108265751,"Minister for Equality, Research and Innovation",cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q108265821,Minister for European Affairs and Equality,cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q25713883,Minister for Foreign Affairs,Maltese minister,,,Q3112083,Cabinet of Malta,,,Q7330070,foreign minister,,
Q108265813,Minister for Gozo,cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,Q60771868,Ministry for Gozo
Q108265384,Minister for Health,cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q3273722,health minister,,
Q108266345,Minister for Home Affairs,cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q109689444,Minister for Inclusion and Social Wellbeing,cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q108265741,Minister for Justice and Governance,cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q17763739,justice minister,,
Q109689775,Minister for Senior Citizens and Active Aging,cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q109689469,Minister for Social Accommodation,cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q109689786,"Minister for Social Justice and Solidarity, the Family and Children's Rights",cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q108265825,Minister for Tourism,cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q15722501,tourism minister,,
Q109689478,Minister for Tourism and Consumer Protection,cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q25713888,"Minister for Transport, Communications and Technology",Maltese minister,,,Q3112083,Cabinet of Malta,,,Q12339722,transport minister,,
Q109689807,"Minister for Transport, Infrastructure and Capital Projects",cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q25713889,Minister for Youth and Arts,Maltese minister,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q108265621,Minister for the Economy and Industry,cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q108265790,"Minister for the Environment, Climate Change and Planning",cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q1449973,environment minister,,
Q109689802,"Minister for the National Heritage, the Arts and Local Government",cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q25631196,Minister of European Affairs,Cabinet position in Malta,,,Q5589242,Government of Malta,,,Q29963186,Q29963186,,
Q109689761,Minister within the Office of the Prime Minister,cabinet position in Malta,,,Q3112083,Cabinet of Malta,,,Q83307,minister,,
Q152814,Prime Minister of Malta,position,1921-01-01T00:00:00Z,,Q3112083,Cabinet of Malta,,,Q2285706,head of government,,
Q152814,Prime Minister of Malta,position,1921-01-01T00:00:00Z,,Q3112083,Cabinet of Malta,,,Q14212,prime minister,,
